iso,places,counts,latlongs
AFG,['Kabul'],[9],['(34.5260109|69.1776838)']
AGO,"['Benguela', 'Ambrizete', 'Luanda']","[1, 1, 4]","['(-12.5790048|13.4037117)', '(-7.2315951|12.8685053)', '(-8.8272699|13.2439512)']"
ALB,['Tirana'],[4],['(41.3305141|19.825562857582966)']
AND,['Andorra la Vella'],[3],['(42.5069391|1.5212467)']
ARE,"['Abu Dhabi', 'Dubai', 'Ras al-Khaimah']","[4, 14, 1]","['(24.4538352|54.3774014)', '(25.2653471|55.2924914)', '(25.7737705|55.938232)']"
ARG,"['Puerto Iguazú|Misiones', 'La Matanza|Buenos Aires', 'Tucumán', 'Charata', 'Posadas|Misiones', 'Corrientes', 'Curuzú Cuatiá|Corrientes', 'Palo Santo|Formosa', 'Villa María Selva|Santa Fe', 'Córdoba', 'San Juan', 'Santa Fe', 'Paraná|Entre Ríos', 'Villa María|Córdoba', 'Villa Cañada Rosquín|Santa Fe', 'Leones|Córdova', 'Marcos Juárez|Córdoba', 'Mendoza', 'Inriville|Córdoba', 'Rosário', 'Rosario|Santa Fe', 'Concorán|San Luis', 'San Nicolás de los Arroyos|Buenos Aires', 'Pergamino|Buenos Aires', 'San Fernando|Provincia de Buenos Aires', 'San Isidro|Buenos Aires', 'Martínez|Buenos Aires', 'Olivos|Buenos Aires', 'Vicente López|Buenos Aires', 'Munro|Buenos Aires', 'Villa Ballester', 'Saavedra|Buenos Aires', 'Belgrano|Buenos Aires', 'Villa Urquiza|Ciudad de Buenos Aires', 'Palermo|Burnos Aires', 'Chacarita|Buenos Aires City', 'Hurlingham|Buenos Aires', 'Junín|Buenos Aires', 'Villa Devoto|Buenos Aires', 'Buenos Aires City|Buenos Aires', 'Villa del Parque|Buenos Aires', 'Buenos Aires|Ciudad Autónoma de Buenos Aires', 'Balvanera|Buenos Aires', 'El Palomar|Buenos Aires', 'Flores|Buenos Aires', 'Boedo|Buenos Aires', 'Ciudadela|Buenos Aires', 'Parque Patricios|Buenos Aires', 'Ramos Mejia', 'Mercedes', 'Merlo|Buenos Aires', 'San Justo|Buenos Aires', 'Lanús|Buenos Aires', 'Quilmes|Buenos Aires', 'Lomas de Zamora|Buenos Aires', 'Berazategui|Buenos Aires', 'General Viamonte|Buenos Aires', 'La Plata|Buenos Aires', 'Los Toldos|Buenos Aires', 'Lobos|Buenos Aires', 'Jéppener|Buenos Aires', 'Casbas|Buenos Aires', 'Olavarría|Buenos Aires', 'Mar del Plata|Buenos Aires', 'Tres Arroyos|Buenos Aires', 'Necochea|Provincia de Buenos Aires', 'Bahía Blanca|Buenos Aires', 'Neuquén', 'General Roca|Río Negro']","[1, 2, 1, 2, 1, 1, 1, 1, 1, 11, 3, 1, 2, 1, 1, 1, 4, 2, 2, 2, 7, 1, 4, 2, 2, 1, 1, 3, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 11, 3, 245, 3, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 2, 1, 1, 1, 12, 1, 2, 1, 1, 1, 6, 1, 2, 5, 6, 1]","['(-25.6346782|-54.58287530604622)', '(-26.5723825|-60.1650583)', '(-26.8303703|-65.2038133)', '(-27.2178115|-61.1873712)', '(-27.4035083|-55.949711812781445)', '(-27.4687004|-58.8311982)', '(-29.7913375|-58.0498307)', '(-29.886346|-65.2956794)', '(-31.15932|-61.364684)', '(-31.4173391|-64.183319)', '(-31.5370909|-68.5251802)', '(-31.6186951|-60.7019561)', '(-31.7330145|-60.5298511)', '(-32.4107173|-63.2437955)', '(-32.593164|-61.720906)', '(-32.6489676|-62.29900278789227)', '(-32.6946933|-62.104385)', '(-32.8894155|-68.8446177)', '(-32.9455195|-62.2306859)', '(-32.9593609|-60.6617024)', '(-32.9595004|-60.6615415)', '(-33.301508|-66.337083)', '(-33.3277089|-60.2165909)', '(-33.897495|-60.575046)', '(-34.4471919|-58.5701505)', '(-34.4739792|-58.5264866)', '(-34.4939666|-58.510352)', '(-34.5110708|-58.4901197)', '(-34.5244484|-58.5036282)', '(-34.5296066|-58.5220231)', '(-34.5483812|-58.5564925)', '(-34.5525291|-58.4862759)', '(-34.5613076|-58.4565454)', '(-34.5732414|-58.4914785)', '(-34.5803362|-58.4245236)', '(-34.5880107|-58.4541562)', '(-34.5933423|-58.6378405)', '(-34.5934412|-60.9461678)', '(-34.6009939|-58.5155164)', '(-34.6037181|-58.38153)', '(-34.6047975|-58.4938209)', '(-34.6075682|-58.4370894)', '(-34.6092155|-58.4031396)', '(-34.6225227|-58.595568)', '(-34.6282028|-58.4622184)', '(-34.6302518|-58.41879)', '(-34.633603|-58.5426528)', '(-34.6374817|-58.4012386)', '(-34.6481661|-58.5622869)', '(-34.6506717|-59.4317202)', '(-34.6604988|-58.7321695)', '(-34.6774186|-58.5607837)', '(-34.70213445|-58.395079732244895)', '(-34.7303025|-58.268868)', '(-34.7572582|-58.4026638)', '(-34.7632677|-58.2116604)', '(-34.8561|-61.1543)', '(-34.9206797|-57.9537638)', '(-35.0002026|-61.0384006)', '(-35.1856322|-59.0978393)', '(-35.277518|-58.2016886)', '(-36.7575346|-62.5048118)', '(-36.8939975|-60.3227331)', '(-37.9977225|-57.5482703)', '(-38.3770014|-60.2755685)', '(-38.5545494|-58.7392624)', '(-38.7176522|-62.2654871)', '(-38.9519679|-68.0591741)', '(-39.0266276|-67.5754863)']"
ARM,"['Yerevan|Armenian SSR', 'Yerevan|Yerevan', 'Vanadzor']","[1, 1, 2]","['(40.1776245|44.5126174)', '(40.1812|44.5136)', '(40.804562|44.493915)']"
AUS,"['Thursday Island', 'Darwin|Northern Territory', 'Arnhem Land|Northern Territory', 'Ngukurr', 'Cairns|Queensland', 'North Queensland|Queensland', 'Townsville|Queensland', 'Mackay|Queensland', 'Victoria', 'Winton|Queensland', 'Murgon|Queensland', 'Dalby|Queensland', 'Wooloowin|Brisbane', 'Wynnum-Manly|Queensland', 'Brisbane|Queensland', 'Brisbane|Queensland', 'Gold Coast|Queensland', 'Benowa|Queensland', 'Byron Bay|New South Wales', 'Lismore|New South Wales', 'Casino|New South Wales', 'Coffs Harbour|New South Wales', 'Kalgoorlie|Western Australia', 'Coonamble|New South Wales', 'Tamworth|New South Wales', 'Southern Cross', 'Taree|New South Wales', 'West Leederville', 'Tasmania', 'Perth|Western Australia', 'Fremantle|Western Australia', 'Lochinvar|New South Wales', 'Newcastle|New South Wales', 'Bunbury', 'Mona Vale', 'Wahroonga|New South Wales', 'Cherrybrook|Sydney', 'Blacktown|New South Wales', 'Forestville|New South Wales', 'Cowra|New South Wales', 'Sydney|New South Wales', 'Marrickville|Sydney', 'New South Wales', 'Camden|New South Wales', 'Mildura|Victoria', 'Griffith|New South Wales', 'Temora|New South Wales', 'Wollongong|New South Wales', 'Wongawilli|New South Wales', 'Adelaide|South Australia', 'Canberra|Australian Capital Territory', 'Yarrawonga|Victoria', 'Albury|New South Wales', 'Echuca|Victoria', 'Rushworth|Victoria', 'Kyneton|Victoria', 'Ballarat|Victoria', 'Sunbury|Victoria', 'Craigieburn', 'Yarra Glen|Victoria', 'Footscray', 'East Melbourne', 'Melbourne|Victoria', 'Bairnsdale|Victoria', 'Camberwell|Melbourne', 'Cranbourne|Victoria', 'Geelong|Victoria', 'Mount Eliza|Victoria', 'Traralgon|Victoria', 'Smithton', 'Launceston|Tasmania', 'Hobart|Tasmania']","[1, 4, 1, 1, 4, 2, 2, 1, 3, 4, 1, 1, 3, 1, 38, 5, 4, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 29, 4, 1, 9, 1, 1, 1, 2, 9, 1, 1, 171, 2, 1, 1, 1, 1, 1, 3, 1, 35, 63, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 122, 1, 2, 1, 1, 1, 1, 4, 3, 3]","['(-10.578645850000001|142.21892059042744)', '(-12.46044|130.8410469)', '(-12.647014|134.277694)', '(-14.7341439|134.7323402)', '(-16.9206657|145.7721854)', '(-19.25|146.800003)', '(-19.2569391|146.8239537)', '(-21.141956|149.1865149)', '(-21.2309116|148.9741517)', '(-22.3845163|143.0364812)', '(-26.244173500000002|151.93607500815602)', '(-27.1822593|151.2634168)', '(-27.4194368|153.0412308)', '(-27.448182|153.180324)', '(-27.4689682|153.0234991)', '(-27.4698|153.0251)', '(-28.0023731|153.4145987)', '(-28.010590999999998|153.3878868895918)', '(-28.6483333|153.6177778)', '(-28.79363905|153.26708675122956)', '(-28.8631616|153.048155)', '(-30.2985996|153.1094116)', '(-30.7464139|121.473223)', '(-30.9554038|148.3885885)', '(-31.0900743|150.9290159)', '(-31.2282721|119.327784)', '(-31.912864|152.4608481)', '(-31.9385927|115.8321028)', '(-31.95321805|152.55553581840277)', '(-31.9558964|115.8605801)', '(-32.0534086|115.7586172)', '(-32.7021386|151.4535003)', '(-32.9192953|151.7795348)', '(-33.3267797|115.636698)', '(-33.6769931|151.3029577)', '(-33.7183413|151.1174435)', '(-33.7227778|151.0461111)', '(-33.7401885|150.86483553289474)', '(-33.7620891|151.2150889)', '(-33.81112855|148.69356504178705)', '(-33.8698439|151.2082848)', '(-33.91255125|151.15416988628277)', '(-33.9175545|151.2291515)', '(-34.016087|150.71988490858)', '(-34.1847265|142.1624972)', '(-34.2870772|146.0551022)', '(-34.3830356|147.46858599208093)', '(-34.4278083|150.893054)', '(-34.4766667|150.755)', '(-34.9281805|138.5999312)', '(-35.2975906|149.1012676)', '(-36.0141692|146.0063494)', '(-36.0804766|146.9162795)', '(-36.1281405|144.7516955)', '(-36.5860102|145.01557)', '(-37.247494|144.4552171)', '(-37.5623025|143.8605649)', '(-37.5796938|144.7295281)', '(-37.5901421|144.9108265)', '(-37.6573475|145.3743964)', '(-37.7981339|144.897345)', '(-37.812498|144.9858851)', '(-37.8142176|144.9631608)', '(-37.8254509|147.6304752)', '(-37.8384623|145.0740767)', '(-38.1087442|145.2834004)', '(-38.1493084|144.3598004)', '(-38.1837759|145.0892789)', '(-38.1946441|146.5382327)', '(-40.8415455|145.1282245)', '(-41.4340813|147.1373496)', '(-42.8825088|147.3281233)']"
AUT,"['Austria', 'Sankt Vein|Carinthia', 'Klagenfurt am Wörthersee|Carinthia', 'Spittal an der Drau', 'St.Johann', 'Friesach', 'Graz', 'Thal|Styria', 'Weiz|Styria', 'Feldkirch', 'Innsbruck|Tyrol', 'Leoben', 'Vorau', 'Bruck an der Mur', 'Dornbirn', 'Oberpullendorf', 'Deutschkreuz|Deutschkreuz', 'Hallein', 'Bad Ischl|Upper Austria', 'Salzburg', 'Eisenstadt', 'Gmunden', 'Wels|Upper Austria', 'Mettmach', 'Ybbs', 'Vienna', 'Melk', 'Braunau am Inn', 'Linz', 'Großweikersdorf', 'Eggenburg', 'Waidhofen an der Thaya']","[1, 1, 5, 1, 1, 1, 7, 4, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 57, 1, 3, 1, 1, 1, 1]","['(25.22539605|55.16431379427327)', '(46.615584|14.316034)', '(46.623943|14.3075976)', '(46.7982211|13.4963308)', '(46.8196|14.856746)', '(46.9520636|14.4052266)', '(47.0708678|15.4382786)', '(47.0792405|15.3549817)', '(47.2174206|15.6221694)', '(47.2375671|9.5981724)', '(47.2654296|11.3927685)', '(47.3805128|15.0947756)', '(47.406214|15.8883404)', '(47.4121987|15.2721668)', '(47.413631|9.7423875)', '(47.5012609|16.5054577)', '(47.6215|16.4296)', '(47.6821521|13.0956313)', '(47.7115299|13.6239333)', '(47.7981346|13.0464806)', '(47.8454821|16.5249288)', '(47.9185855|13.8003048)', '(48.1565472|14.0243752)', '(48.1726722|13.3443973)', '(48.1772445|15.0852856)', '(48.2083537|16.3725042)', '(48.2272068|15.3369992)', '(48.253136|13.039506)', '(48.3059078|14.286198)', '(48.4729569|15.9822875)', '(48.6432222|15.8162695)', '(48.8146165|15.284518)']"
AZE,['Baku|Azerbaijan SSR'],[1],['(40.3755885|49.8328009)']
