iso,places,counts,latlongs
BEL,"['Limburg|Vlaanderen', 'Charleroi', 'Namur', 'Baudour|Hainaut', 'Belgium', 'Soignies|Hainaut', 'Verviers', 'Liège', 'Rocourt|Liège', 'Aubel', 'Moresnet-Chapelle', 'Menen|Flanders', 'Uccle|Bruxelles', 'Watermael', 'Courtrai', 'Elsene|Brabant', 'Etterbeek|Brussels-Capital Region', 'Anderlecht', 'Oudenaarde|Flanders', 'Bruxelles', 'Berchem-Sainte-Agathe|Brussels', 'Schaerbeek|Brussels', 'Leuven|Flanders', 'Velzeke', 'Wilsele', 'Asse|Flanders', 'Vilvoorde', 'Hasselt', 'Merkem', 'Zonhoven', 'Ghent|Flanders', 'Veurne|Flanders', 'Duffel|Flanders', 'Niel|Flanders', 'Bree', 'Edegem', 'Sint Niklaas', 'Wilrijk|Anversa', 'Mortsel|Flanders', 'Herentals|Flanders', 'Bruges|Flanders', 'Antwerp|Flanders', 'Merksem', 'Brasschaat', 'Turnhout', 'Brecht|Flanders']","[1, 1, 2, 1, 4, 1, 1, 8, 1, 2, 1, 1, 5, 1, 1, 5, 1, 1, 1, 39, 8, 1, 1, 2, 1, 2, 3, 1, 1, 1, 8, 3, 1, 1, 3, 1, 1, 3, 2, 2, 4, 17, 1, 1, 2, 2]","['(50.3876305|8.0636197)', '(50.4120332|4.4436244)', '(50.4665284|4.8661892)', '(50.4815271|3.8312173)', '(50.503887|4.469936)', '(50.579203|4.0685604)', '(50.59324|5.867828)', '(50.6450944|5.5736112)', '(50.678042|5.547616)', '(50.7041498|5.8585553)', '(50.7309385|5.9957673)', '(50.7937353|3.167040611100269)', '(50.8035441|4.3338445)', '(50.8101036|4.4060466)', '(50.8276429|3.2659884)', '(50.8331141|4.3668279)', '(50.8361447|4.3861737)', '(50.8390983|4.3296526)', '(50.84611|3.610996)', '(50.8465573|4.351697)', '(50.8649231|4.2946734)', '(50.8676041|4.3737121)', '(50.879202|4.7011675)', '(50.8824839|3.7825766)', '(50.9114018|4.7131616)', '(50.913594|4.1804375072844895)', '(50.9287524|4.4228712)', '(50.9303735|5.3378043)', '(50.961212149999994|2.8738543836924793)', '(50.9909835|5.3677683)', '(51.0538286|3.7250121)', '(51.0709569|2.6548504704135794)', '(51.0957176|4.5061988)', '(51.1098649|4.3303396)', '(51.1386239|5.622980505851396)', '(51.1548066|4.4458312)', '(51.1646685|4.1395124)', '(51.1700864|4.3942577)', '(51.1704119|4.4566996)', '(51.1855307|4.83462866367042)', '(51.2085526|3.226772)', '(51.2211097|4.3997081)', '(51.2438894|4.4397179)', '(51.2900693|4.4917295)', '(51.3233812|4.948461)', '(51.3484804|4.6398673)']"
BEN,"['Ouidah', 'Cotonou']","[1, 3]","['(6.3666147|2.0853599)', '(6.3676953|2.4252507)']"
BFA,['Ouagadougou'],[1],['(12.3681873|-1.5270944)']
BGD,"['Bagerhat', 'Sonagazi|Chittagong', 'Comilla', 'Dhaka', 'Kushtia|Kushtia', 'Mymensingh', 'Naogaon']","[1, 1, 1, 9, 1, 1, 1]","['(22.6554781|89.7941813)', '(22.9167|91.1167)', '(23.4610615|91.1808748)', '(23.7644025|90.389015)', '(23.901258|89.122022)', '(24.7482129|90.4099158)', '(24.8073229|88.9445447)']"
BGR,"['Haskovo', 'Plovdiv', 'Burgas', 'Pernik', 'Sofia', 'Varna', 'Shumen', 'Ruse']","[2, 2, 2, 1, 30, 3, 1, 1]","['(41.9345727|25.5556639)', '(42.1418541|24.7499297)', '(42.4936616|27.4721276)', '(42.6092185|23.0309457)', '(42.6977028|23.3217359)', '(43.2073873|27.9166653)', '(43.2703797|26.9247362)', '(43.8480413|25.9542057)']"
BHR,['Manama'],[11],['(26.2235041|50.5822436)']
BHS,['Nassau|New Providence'],[3],['(25.0783456|-77.3383331)']
BIH,"['Čapljina', 'Mostar', 'Sarajevo', 'Sarajevo|Sarajevo', 'Zvornik', 'Tuzla']","[1, 3, 7, 2, 2, 1]","['(43.1133536|17.705039)', '(43.3435855|17.8076584)', '(43.8519774|18.3866868)', '(43.856258|18.413076)', '(44.3854067|19.1027717)', '(44.5391105|18.675193)']"
BLR,"['BSSR|USSR', 'Minsk', 'Minsk', 'Wiszniewo|Poland [now Vishnyeva', 'Rakov|Belarussian SSR']","[3, 3, 1, 1, 1]","['(53.65530135|23.748644272545953)', '(53.9024716|27.5618225)', '(53.904539|27.561524)', '(54.714317|26.524702)', '(54.769722|32.039444)']"
BMU,"['Hamilton', 'Pembroke Parish']","[9, 2]","['(32.2956076|-64.7827048)', '(32.305933|-64.75583)']"
BOL,"['La Paz', 'Cochabamba', 'Santa Cruz de la Sierra', 'Tupiza']","[1, 1, 1, 1]","['(-16.4955455|-68.1336229)', '(-17.3936114|-66.1568983)', '(-17.7834936|-63.1820853)', '(-21.4437717|-65.7208365)']"
BRA,"['Belém|Pará', 'Salvador|Bahia', 'Jequié|Bahia', 'Brasília|Distrito Federal', 'Pirenópolis|Goiás', 'Goiânia|Goiás', 'Cristalina|Goiás', 'Pirapora|Minas Gerais', 'Minas Gerais', 'Aracruz|Espírito Santo', 'Sacramento|Minas Gerais', 'Belo Horizonte|Minas Gerais', 'São Luís|Maranhão', 'Itabirito|Minas Gerais', 'Guaíra|Paraná', 'Vila Velha|Espírito Santo', 'Franca|São Paulo', 'Anchieta|Espírito Santo', 'São José do Rio Preto|São Paulo', 'Cachoeiro de Itapemirim|Espirito Santo', 'Muriaé|Minas Gerais', 'Ribeirão Preto|São Paulo', 'Araçatuba|São Paulo', 'Barbacena|Minas Gerais', 'Birigui|São Paulo', 'Bahia', 'Glicério|São Paulo', 'Taquaritinga|São Paulo', 'Penápolis|São Paulo', 'Varginha|Minas Gerais', 'Flórida Paulista|São Paulo', 'Itaocara|RJ', 'Machado|Minas Gerais', 'Três Corações|Minas Gerais', 'Campos dos Goytacazes|Rio de Janeiro', 'Juiz de Fora|Minas Gerais', 'Matias Barbosa|Minas Gerais', 'Alem Paraiba|Minas Gerais', 'Aiuruoca|Minas Gerais', 'São Lourenço|Minas Gerais', 'Três Rios|Rio de Janeiro', 'Presidente Prudente|São Paulo', 'Espírito Santo do Pinhal|São Paulo', 'Marília|São Paulo', 'Rio Claro|São Paulo', 'Teresópolis|Rio de Janeiro', 'Resende|Rio de Janeiro', 'Petrópolis|Rio de Janeiro', 'Rio Bonito|Rio de Janeiro', 'Nova Iguaçu|Rio de Janeiro', 'Belford Roxo|Rio de Janeiro', 'Duque de Caxias|Rio de Janeiro', 'São João de Meriti|Rio de Janeiro', 'São Gonçalo|Rio de Janeiro', 'Cabo Frio|Rio de Janeiro', 'Botucatu|São Paulo', 'Niterói|Rio de Janeiro', 'Campinas|São Paulo', 'Rio de Janeiro|Rio de Janeiro', 'Rafard|São Paulo', 'Avaré|São Paulo', 'Bom Jesus dos Perdões|São Paulo', 'Atalaia|Alagoas', 'São José dos Campos|São Paulo', 'Jundiaí|State of São Paulo', 'Floraí|Paraná', 'Arujá|São Paulo', 'Maringá|Paraná', 'Guarulhos|São Paulo', 'Sorocaba|São Paulo', 'Barueri|São Paulo', 'Mogi das Cruzes|São Paulo', 'Osasco|São Paulo', 'Ferraz de Vasconcelos|São Paulo', 'São Paulo|São Paulo', 'Taboão da Serra|São Paulo', 'Santo André|São Paulo', 'Mauá|São Paulo', 'São Bernardo do Campo|São Paulo', 'São Vicente|São Paulo', 'Santos|São Paulo', 'Itapeva|São Paulo', 'Telêmaco Borba|Paraná', 'Guarapuava|Paraná', 'Curitiba|Paraná', 'Horizontina|Rio Grande do Sul', 'Erechim|Rio Grande do Sul', 'Passo Fundo|Rio Grande do Sul', 'Orleans|Santa Catarina', 'Ijuí|Rio Grande do Sul', 'Ceará', 'Veranópolis|Rio Grande do Sul', 'Caxias do Sul|Rio Grande do Sul', 'Manaus|Amazonas', 'Fortaleza|Ceará', 'Porto Alegre|Rio Grande do Sul', 'Pelotas|Rio Grande do Sul', 'Tabuleiro do Norte|Ceará', 'Natal|Rio Grande do Norte', 'Paraná', 'Bananeiras|Paraíba', 'Solânea|Paraíba', 'Nova Olinda|Ceará', 'João Pessoa|Paraíba', 'Araguaína|Tocantins', 'Campina Grande|Paraiba', 'Recife|Pernambuco', 'Salgueiro|Pernambuco', 'Brejo da Madre de Deus|Pernambuco', 'Cabrobó|Pernambuco', 'Palmeira do Piauí|Piauí', 'Caetés|Pernambuco', 'Rodelas|Bahia', 'Juazeiro|Bahia', 'San Paolo|San Paolo']","[2, 9, 1, 8, 1, 9, 1, 1, 1, 1, 1, 12, 4, 1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 6, 1, 1, 6, 3, 1, 3, 1, 1, 12, 3, 148, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 73, 2, 5, 1, 5, 2, 2, 1, 1, 3, 8, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 16, 1, 1, 1, 5, 1, 1, 1, 3, 1, 1, 9, 1, 1, 2, 2, 1, 3, 2, 1]","['(-1.45056|-48.4682453)', '(-12.9822499|-38.4812772)', '(-13.8604033|-40.0719627)', '(-15.7934036|-47.8823172)', '(-15.8501619|-48.957317)', '(-16.680882|-49.2532691)', '(-16.7680599|-47.6133427)', '(-17.3493765|-44.9507904)', '(-18.865186|-48.265278)', '(-19.8245218|-40.2735025)', '(-19.8652854|-47.4402746)', '(-19.9227318|-43.9450948)', '(-2.5295265|-44.2963942)', '(-20.2519724|-43.8029171)', '(-20.3245873|-48.3148818)', '(-20.3297037|-40.2920174)', '(-20.5381768|-47.4009795)', '(-20.8057672|-40.6454564)', '(-20.8125851|-49.3804212)', '(-20.848084|-41.11129)', '(-21.130556|-42.366389)', '(-21.178333|-47.8066671)', '(-21.207992|-50.4390225)', '(-21.2254524|-43.7735087)', '(-21.2908491|-50.34144)', '(-21.3770591|-44.4949186)', '(-21.3814805|-50.2100452)', '(-21.407486|-48.5054848)', '(-21.4192406|-50.0765588)', '(-21.5565914|-45.4340674)', '(-21.614061|-51.1729548)', '(-21.6725236|-42.0798658)', '(-21.6762861|-45.9211696)', '(-21.695625|-45.2543675)', '(-21.7558619|-41.3326895)', '(-21.7609533|-43.3501129)', '(-21.8691643|-43.3180624)', '(-21.8760576|-42.6810473)', '(-21.9759554|-44.6036637)', '(-22.116389|-45.054167)', '(-22.1167884|-43.2087226)', '(-22.1225167|-51.3882528)', '(-22.190871|-46.74767)', '(-22.2172002|-49.9500061)', '(-22.4100108|-47.5603933)', '(-22.4164578|-42.975194)', '(-22.4683626|-44.4463494)', '(-22.5075743|-43.1785356)', '(-22.7108378|-42.6271864)', '(-22.7592175|-43.4508728)', '(-22.7667284|-43.4033603)', '(-22.7896225|-43.309929)', '(-22.8043744|-43.3724125)', '(-22.8219014|-43.0309252)', '(-22.8804369|-42.0189227)', '(-22.8879628|-48.4410712)', '(-22.8884|-43.1147)', '(-22.90556|-47.06083)', '(-22.9110137|-43.2093727)', '(-23.0143559|-47.5306721)', '(-23.1045215|-48.9259103)', '(-23.1353864|-46.4648052)', '(-23.1513833|-52.0529697)', '(-23.1860383|-45.8866816)', '(-23.1887668|-46.884506)', '(-23.3206134|-52.3009856)', '(-23.396266|-46.3175449)', '(-23.425269|-51.9382078)', '(-23.4428948|-46.5243855)', '(-23.5003451|-47.4582864)', '(-23.5112184|-46.8764612)', '(-23.5234284|-46.1926671)', '(-23.5324859|-46.7916801)', '(-23.541056|-46.37097)', '(-23.5506507|-46.6333824)', '(-23.6121912|-46.7790539)', '(-23.6573395|-46.5322504)', '(-23.6669527|-46.4616922)', '(-23.7080345|-46.5506747)', '(-23.9603686|-46.3847024)', '(-23.960833|-46.333889)', '(-23.9849105|-48.8803886)', '(-24.3282939|-50.6318021)', '(-25.3950986|-51.4622016)', '(-25.4295963|-49.2712724)', '(-27.627931|-54.3090256)', '(-27.6350709|-52.2738654)', '(-28.2550598|-52.3966606)', '(-28.3572698|-49.2872434)', '(-28.3878734|-53.9201692)', '(-28.6876183|-49.3532423)', '(-28.9351239|-51.5519175)', '(-29.1684951|-51.1796197)', '(-3.1316333|-59.9825041)', '(-3.7304512|-38.5217989)', '(-30.0324999|-51.2303767)', '(-31.7699736|-52.3410161)', '(-5.2440865|-38.1284605)', '(-5.805398|-35.2080905)', '(-6.4836791|-38.3117943)', '(-6.7537682|-35.6338343)', '(-6.7540351|-35.6621943)', '(-7.0934174|-39.6789815)', '(-7.1215981|-34.882028)', '(-7.193241|-48.2018597)', '(-7.2246743|-35.8771292)', '(-8.0584933|-34.8848193)', '(-8.0726731|-39.1269719)', '(-8.1409718|-36.3712527)', '(-8.5083701|-39.3106961)', '(-8.7252097|-44.2355232)', '(-8.7728788|-36.6255835)', '(-8.8485589|-38.7663939)', '(-9.4336959|-40.5068201)', '(45.370576|10.026767)']"
BRB,"['Bridgetown', 'Saint Michael']","[1, 1]","['(13.0977832|-59.6184184)', '(13.216667|-59.516667)']"
BTN,['Thimphu'],[1],['(27.4713546|89.6336729)']
BWA,"['Gaborone', 'Lobatse']","[1, 1]","['(-24.6581357|25.9088474)', '(-25.2100604|25.6819594)']"
