,iso,mean_imdb,mean_tmdb
0,USA,6.5,6.7
1,GBR,6.77,6.89
2,IRL,6.7,6.88
3,IND,6.47,6.42
4,AUS,6.42,6.69
5,CAN,6.32,6.63
6,AUT,6.36,6.49
7,BGR,5.87,6.22
8,DEU,6.33,6.54
9,CZE,6.54,6.9
10,RUS,6.55,6.93
11,ITA,6.25,6.64
12,NZL,6.5,6.74
13,MEX,6.34,6.98
14,GRC,6.3,6.59
15,LTU,6.57,6.75
16,NOR,6.47,6.69
17,TUN,6.28,6.47
18,CUB,6.4,6.74
19,HUN,6.97,6.9
20,EGY,6.32,6.41
21,MMR,5.03,6.08
22,PAK,6.53,6.72
23,TKM,6.5,6.72
24,KOR,7.28,7.68
25,LBN,6.72,6.51
26,CHN,6.76,6.99
27,IDN,6.37,6.78
28,JPN,6.92,7.3
29,DZA,6.3,6.35
30,TWN,6.62,6.88
31,ISR,6.7,6.68
32,UKR,6.22,6.58
33,FIN,6.79,6.78
34,SWE,6.6,6.71
35,ZAF,6.03,6.77
36,VIR,6.88,7.02
37,BEL,6.6,6.73
38,COL,6.08,6.84
39,PRI,6.73,6.71
40,ARG,6.46,6.96
41,URY,6.77,6.85
42,GHA,5.76,6.29
43,GUY,6.15,6.39
44,FRA,6.36,6.58
45,MAR,6.34,6.44
46,ROU,5.94,6.38
47,HND,6.47,6.39
48,HRV,6.25,6.59
49,BIH,6.55,6.72
50,PRT,6.93,7.23
51,ESP,6.22,6.49
52,DNK,6.89,7.03
53,NLD,6.38,6.76
54,SGP,6.16,6.81
55,POL,5.68,6.2
56,TUR,6.36,6.34
57,SVN,7.28,7.49
58,PYF,6.5,6.5
59,JAM,6.48,6.76
60,PER,6.11,6.38
61,BTN,7.1,7.2
62,MYS,6.31,6.41
63,SLV,6.18,6.73
64,PHL,6.21,6.44
65,VNM,5.73,6.35
66,PAN,6.69,7.07
67,BOL,7.18,6.75
68,NPL,6.56,6.73
69,CHE,6.41,6.57
70,ETH,6.46,6.62
71,YEM,7.15,6.83
72,JOR,6.7,6.98
73,ALB,7.42,6.82
74,BMU,7.17,7.21
75,KAZ,6.73,6.87
76,CIV,6.63,7.04
77,SRB,6.23,6.42
78,BRA,6.04,6.96
79,SVK,6.7,6.88
80,KEN,6.62,7.44
81,DOM,6.48,6.8
82,THA,6.38,6.76
83,ZMB,7.05,6.85
84,IRN,6.62,6.57
85,BEN,7.1,6.89
86,SLE,7.62,7.58
87,UGA,6.53,6.83
88,CHL,6.18,6.54
89,NGA,5.79,5.98
90,HTI,6.35,7.06
91,BHS,6.33,6.8
92,PRY,6.2,6.8
93,TZA,6.96,7.46
94,VEN,6.65,7.34
95,LIE,6.05,7.1
96,AGO,5.33,6.33
97,PSE,6.58,5.98
98,LKA,5.87,6.46
99,BHR,5.74,6.18
100,SAU,6.42,6.6
101,TTO,5.64,6.15
102,IMN,7.5,7.3
103,ZWE,6.62,6.88
104,AZE,7.7,7.3
105,AFG,6.77,6.48
106,HKG,6.19,6.88
107,ISL,6.51,6.61
108,GEO,5.59,6.35
109,OMN,6.22,6.29
110,BGD,6.93,7.1
111,SWZ,6.09,6.45
112,ARE,6.14,6.23
113,FJI,7.5,8.0
114,CRI,5.97,5.98
115,TJK,7.6,7.65
116,VGB,6.9,6.7
117,MUS,7.9,6.9
118,LVA,6.55,6.37
119,SYR,6.79,6.77
120,WSM,6.85,6.45
121,ARM,6.62,6.58
122,COG,6.95,6.94
123,GTM,6.53,6.93
124,BRB,6.85,6.85
125,MWI,6.8,6.8
126,EST,6.87,6.82
127,VUT,7.2,7.0
128,LBR,7.7,7.6
129,MRT,6.85,6.71
130,MLT,5.48,6.58
131,MAC,5.35,6.3
132,NIC,6.05,6.0
133,SEN,5.88,6.32
134,BLR,6.07,6.94
135,COD,6.87,6.72
136,LUX,6.78,6.54
137,SOM,7.2,7.07
138,CYP,5.47,6.02
139,RWA,6.82,7.09
140,KNA,7.4,7.1
141,ECU,6.33,7.7
142,MLI,6.3,6.8
143,GAB,4.95,5.9
144,IRQ,6.56,6.43
145,SDN,6.65,6.97
146,REU,5.85,5.95
147,GNB,7.0,7.2
148,CYM,5.6,8.5
149,KWT,5.24,4.39
150,MCO,8.6,8.4
151,GNQ,5.8,6.1
152,MDA,5.8,6.37
153,KGZ,6.5,6.4
154,ERI,7.7,7.6
155,SYC,6.9,7.6
156,PRK,7.58,7.6
157,SUR,5.95,6.75
158,GMB,5.6,6.0
159,MDG,7.35,7.75
160,GLP,6.4,7.1
161,BFA,6.3,7.0
162,LAO,5.9,4.6
163,BWA,5.0,7.9
164,AND,6.02,6.6
165,CMR,6.3,6.78
166,UZB,7.5,8.45
167,FRO,7.3,7.74
168,MKD,5.75,6.35
169,MNG,6.6,6.9
170,FSM,6.1,7.0
171,TGO,5.7,7.4
